iter	Passed	Remaining
0	148	73864
1	159	39592
2	170	28282
3	183	22708
4	195	19317
5	206	17000
6	218	15410
7	231	14208
8	242	13242
9	253	12443
10	265	11793
11	276	11237
12	286	10734
13	294	10237
14	302	9779
15	309	9376
16	317	9022
17	324	8699
18	332	8410
19	339	8151
20	347	7924
21	355	7730
22	363	7547
23	372	7378
24	380	7227
25	388	7075
26	395	6933
27	403	6798
28	410	6671
29	418	6561
30	426	6452
31	434	6350
32	441	6251
33	449	6164
34	458	6085
35	465	5999
36	473	5922
37	481	5849
38	488	5779
39	496	5710
40	504	5650
41	512	5588
42	520	5533
43	528	5475
44	536	5425
45	544	5370
46	552	5321
47	559	5271
48	567	5224
49	575	5175
50	583	5135
51	591	5100
52	599	5058
53	607	5021
54	615	4982
55	623	4944
56	631	4906
57	639	4872
58	646	4835
59	654	4799
60	662	4765
61	669	4732
62	677	4697
63	685	4668
64	692	4635
65	700	4609
66	708	4579
67	716	4553
68	724	4525
69	732	4500
70	740	4476
71	749	4453
72	757	4428
73	765	4407
74	771	4371
75	778	4345
76	786	4319
77	793	4295
78	801	4272
79	809	4249
80	817	4227
81	824	4205
82	832	4182
83	840	4162
84	848	4140
85	854	4115
86	862	4096
87	870	4074
88	878	4057
89	886	4036
90	894	4018
91	901	3997
92	909	3978
93	916	3959
94	924	3941
95	932	3922
96	939	3905
97	947	3887
98	955	3868
99	962	3849
100	970	3832
101	977	3814
102	985	3798
103	993	3782
104	1001	3766
105	1009	3751
106	1016	3733
107	1024	3718
108	1031	3701
109	1039	3685
110	1045	3665
111	1053	3649
112	1061	3634
113	1071	3626
114	1081	3622
115	1093	3619
116	1104	3615
117	1116	3615
118	1129	3616
119	1141	3614
120	1152	3608
121	1162	3602
122	1171	3591
123	1180	3580
124	1189	3569
125	1198	3556
126	1206	3542
127	1214	3528
128	1221	3514
129	1229	3499
130	1237	3485
131	1244	3470
132	1252	3456
133	1260	3442
134	1268	3429
135	1276	3416
136	1283	3401
137	1291	3387
138	1298	3373
139	1306	3359
140	1313	3344
141	1321	3331
142	1329	3317
143	1336	3303
144	1343	3290
145	1351	3276
146	1358	3261
147	1365	3248
148	1373	3234
149	1380	3221
150	1387	3207
151	1395	3193
152	1402	3180
153	1409	3167
154	1417	3154
155	1424	3141
156	1432	3129
157	1439	3116
158	1447	3104
159	1455	3092
160	1462	3078
161	1469	3066
162	1477	3055
163	1485	3042
164	1492	3030
165	1500	3018
166	1508	3006
167	1515	2994
168	1523	2983
169	1531	2972
170	1538	2960
171	1546	2948
172	1553	2936
173	1560	2924
174	1568	2912
175	1575	2900
176	1582	2888
177	1590	2876
178	1597	2864
179	1605	2853
180	1612	2842
181	1619	2830
182	1627	2818
183	1634	2807
184	1642	2795
185	1649	2785
186	1657	2773
187	1664	2762
188	1672	2751
189	1679	2740
190	1687	2729
191	1694	2718
192	1702	2708
193	1710	2697
194	1717	2686
195	1724	2675
196	1732	2664
197	1739	2653
198	1746	2642
199	1754	2631
200	1761	2620
201	1769	2610
202	1776	2599
203	1784	2589
204	1792	2578
205	1799	2568
206	1807	2558
207	1814	2547
208	1822	2537
209	1829	2526
210	1836	2515
211	1844	2505
212	1851	2494
213	1859	2484
214	1867	2475
215	1874	2465
216	1882	2454
217	1890	2445
218	1897	2434
219	1905	2424
220	1913	2415
221	1921	2405
222	1928	2395
223	1936	2385
224	1943	2375
225	1950	2365
226	1958	2355
227	1965	2344
228	1973	2335
229	1980	2325
230	1988	2315
231	1995	2305
232	2002	2295
233	2010	2285
234	2017	2275
235	2025	2265
236	2032	2255
237	2039	2245
238	2047	2235
239	2054	2225
240	2061	2215
241	2069	2206
242	2077	2196
243	2084	2187
244	2092	2177
245	2099	2167
246	2106	2158
247	2114	2148
248	2121	2138
249	2129	2129
250	2136	2119
251	2144	2110
252	2151	2100
253	2158	2090
254	2166	2081
255	2173	2072
256	2181	2062
257	2189	2053
258	2196	2044
259	2204	2034
260	2211	2025
261	2218	2015
262	2225	2005
263	2233	1996
264	2240	1986
265	2247	1977
266	2255	1968
267	2262	1958
268	2270	1949
269	2277	1940
270	2285	1931
271	2292	1921
272	2300	1912
273	2308	1903
274	2315	1894
275	2324	1886
276	2331	1877
277	2339	1867
278	2346	1858
279	2353	1849
280	2361	1840
281	2369	1831
282	2380	1825
283	2391	1818
284	2402	1812
285	2414	1806
286	2426	1800
287	2437	1794
288	2449	1788
289	2459	1781
290	2468	1773
291	2477	1764
292	2485	1755
293	2492	1746
294	2499	1737
295	2507	1727
296	2514	1718
297	2522	1709
298	2529	1700
299	2536	1691
300	2544	1682
301	2551	1672
302	2558	1663
303	2566	1654
304	2573	1645
305	2581	1636
306	2588	1627
307	2596	1618
308	2603	1609
309	2611	1600
310	2618	1591
311	2625	1582
312	2633	1573
313	2640	1564
314	2647	1555
315	2655	1546
316	2662	1537
317	2670	1528
318	2678	1519
319	2685	1510
320	2693	1501
321	2701	1493
322	2709	1484
323	2717	1475
324	2724	1467
325	2732	1458
326	2739	1449
327	2747	1440
328	2754	1431
329	2762	1422
330	2769	1413
331	2776	1405
332	2783	1396
333	2791	1387
334	2798	1378
335	2806	1369
336	2813	1361
337	2821	1352
338	2828	1343
339	2836	1334
340	2844	1326
341	2852	1317
342	2859	1308
343	2866	1300
344	2874	1291
345	2881	1282
346	2889	1273
347	2896	1265
348	2904	1256
349	2911	1247
350	2919	1239
351	2926	1230
352	2934	1222
353	2941	1213
354	2949	1204
355	2956	1196
356	2964	1187
357	2971	1178
358	2978	1169
359	2985	1161
360	2992	1152
361	3000	1143
362	3007	1135
363	3015	1126
364	3022	1117
365	3030	1109
366	3037	1100
367	3044	1092
368	3052	1083
369	3060	1075
370	3067	1066
371	3075	1058
372	3082	1049
373	3090	1041
374	3098	1032
375	3106	1024
376	3113	1015
377	3121	1007
378	3129	998
379	3136	990
380	3144	982
381	3152	973
382	3159	965
383	3167	956
384	3174	948
385	3182	939
386	3189	931
387	3197	923
388	3205	914
389	3212	906
390	3219	897
391	3227	889
392	3235	880
393	3242	872
394	3250	863
395	3257	855
396	3265	847
397	3273	838
398	3280	830
399	3288	822
400	3295	813
401	3303	805
402	3310	796
403	3318	788
404	3326	780
405	3333	771
406	3341	763
407	3348	755
408	3356	746
409	3363	738
410	3371	730
411	3378	721
412	3386	713
413	3393	704
414	3400	696
415	3408	688
416	3415	679
417	3422	671
418	3429	663
419	3437	654
420	3444	646
421	3452	638
422	3459	629
423	3466	621
424	3474	613
425	3481	604
426	3489	596
427	3496	588
428	3504	580
429	3512	571
430	3520	563
431	3527	555
432	3535	546
433	3541	538
434	3549	530
435	3556	522
436	3564	513
437	3571	505
438	3579	497
439	3586	489
440	3594	480
441	3602	472
442	3609	464
443	3616	456
444	3624	447
445	3631	439
446	3639	431
447	3646	423
448	3653	415
449	3661	406
450	3668	398
451	3676	390
452	3689	382
453	3700	374
454	3712	367
455	3724	359
456	3736	351
457	3747	343
458	3757	335
